Month,site,specialty,AdmissionStatus,WeeksWaitCategory,PathwayCount
2023-07,LH,Gen Med,NonAdmitted,52+ weeks,132
2023-07,LH,Gen Surg,Admitted,0-17 weeks,195
2023-07,LH,Gen Surg,Admitted,18-51 weeks,398
2023-07,LH,Gen Surg,Admitted,52+ weeks,125
2023-07,LH,Gen Surg,NonAdmitted,0-17 weeks,1591
2023-07,LH,Gen Surg,NonAdmitted,18-51 weeks,972
2023-07,LH,Gen Surg,NonAdmitted,52+ weeks,211
2023-07,LH,Geriatric Med,NonAdmitted,0-17 weeks,165
2023-07,LH,Geriatric Med,NonAdmitted,18-51 weeks,1
2023-07,LH,Geriatric Med,NonAdmitted,52+ weeks,1
2023-07,LH,Gynae,Admitted,0-17 weeks,131
2023-07,LH,Gynae,Admitted,18-51 weeks,186
2023-07,LH,Gynae,Admitted,52+ weeks,77
2023-07,LH,Gynae,NonAdmitted,0-17 weeks,2420
2023-07,LH,Gynae,NonAdmitted,18-51 weeks,711
2023-07,LH,Gynae,NonAdmitted,52+ weeks,37
2023-07,LH,Med Oncol,Admitted,0-17 weeks,27
2023-07,LH,Med Oncol,Admitted,18-51 weeks,3
2023-07,LH,Med Oncol,NonAdmitted,0-17 weeks,142
2023-07,LH,Med Oncol,NonAdmitted,18-51 weeks,16
2023-07,LH,Nephro,NonAdmitted,0-17 weeks,97
2023-07,LH,Nephro,NonAdmitted,18-51 weeks,13
2023-07,LH,Neuro,NonAdmitted,0-17 weeks,920
2023-07,LH,Neuro,NonAdmitted,18-51 weeks,895
2023-07,LH,Neuro,NonAdmitted,52+ weeks,190
2023-07,LH,Paed Cardio,NonAdmitted,0-17 weeks,86
2023-07,LH,Paed Cardio,NonAdmitted,18-51 weeks,48
2023-07,LH,Paed Cardio,NonAdmitted,52+ weeks,2
2023-07,LH,Paed Clin Haem,NonAdmitted,0-17 weeks,7
2023-07,LH,Paed Clin Haem,NonAdmitted,18-51 weeks,1
2023-07,LH,Paed Derm,Admitted,0-17 weeks,1
2023-07,LH,Paed Derm,NonAdmitted,0-17 weeks,136
2023-07,LH,Paed Derm,NonAdmitted,18-51 weeks,4
2023-07,LH,Paed Diab Med,NonAdmitted,0-17 weeks,3
2023-07,LH,Paed Diab Med,NonAdmitted,18-51 weeks,1
2023-07,LH,Paed Endocrin,NonAdmitted,0-17 weeks,9
2023-07,LH,Paed Endocrin,NonAdmitted,18-51 weeks,2
2023-07,LH,Paed ENT,Admitted,0-17 weeks,121
2023-07,LH,Paed ENT,Admitted,18-51 weeks,308
2023-07,LH,Paed ENT,Admitted,52+ weeks,174
2023-07,LH,Paed ENT,NonAdmitted,0-17 weeks,621
2023-07,LH,Paed ENT,NonAdmitted,18-51 weeks,608
2023-07,LH,Paed ENT,NonAdmitted,52+ weeks,82
2023-07,LH,Paed Gastro,NonAdmitted,0-17 weeks,30
2023-07,LH,Paed Gastro,NonAdmitted,18-51 weeks,5
2023-07,LH,Paed Ophthal,NonAdmitted,0-17 weeks,419
2023-07,LH,Paed Ophthal,NonAdmitted,18-51 weeks,185
2023-07,LH,Paed Ophthal,NonAdmitted,52+ weeks,4
2023-07,LH,Paed Rheum,NonAdmitted,0-17 weeks,39
2023-07,LH,Paed Rheum,NonAdmitted,18-51 weeks,19
2023-07,LH,Paed Surg,Admitted,0-17 weeks,121
2023-07,LH,Paed Surg,Admitted,18-51 weeks,39
2023-07,LH,Paed Surg,Admitted,52+ weeks,1
2023-07,LH,Paed Surg,NonAdmitted,0-17 weeks,132
2023-07,LH,Paed Surg,NonAdmitted,18-51 weeks,17
2023-07,LH,Paed T&O,Admitted,0-17 weeks,1
2023-07,LH,Paed T&O,Admitted,18-51 weeks,4
2023-07,LH,Paed T&O,Admitted,52+ weeks,3
2023-07,LH,Paed T&O,NonAdmitted,0-17 weeks,1
2023-07,LH,Paed T&O,NonAdmitted,18-51 weeks,1
2023-07,LH,Paediatrics,NonAdmitted,0-17 weeks,606
2023-07,LH,Paediatrics,NonAdmitted,18-51 weeks,273
2023-07,LH,Paediatrics,NonAdmitted,52+ weeks,6
2023-07,LH,Pain Manage,Admitted,0-17 weeks,20
2023-07,LH,Pain Manage,Admitted,18-51 weeks,25
2023-07,LH,Pain Manage,Admitted,52+ weeks,4
2023-07,LH,Pain Manage,NonAdmitted,0-17 weeks,345
2023-07,LH,Pain Manage,NonAdmitted,18-51 weeks,416
2023-07,LH,Pain Manage,NonAdmitted,52+ weeks,58
2023-07,LH,Resp Med,Admitted,0-17 weeks,2
2023-07,LH,Resp Med,NonAdmitted,0-17 weeks,456
2023-07,LH,Resp Med,NonAdmitted,18-51 weeks,61
2023-07,LH,Rheum,NonAdmitted,0-17 weeks,389
2023-07,LH,Rheum,NonAdmitted,18-51 weeks,18
2023-07,LH,T&O,Admitted,0-17 weeks,432
2023-07,LH,T&O,Admitted,18-51 weeks,705
2023-07,LH,T&O,Admitted,52+ weeks,210
2023-07,LH,T&O,NonAdmitted,0-17 weeks,1541
2023-07,LH,T&O,NonAdmitted,18-51 weeks,773
2023-07,LH,T&O,NonAdmitted,52+ weeks,118
2023-07,LH,Upper Gast Surg,Admitted,0-17 weeks,19
2023-07,LH,Upper Gast Surg,Admitted,18-51 weeks,5
2023-07,LH,Upper Gast Surg,NonAdmitted,0-17 weeks,115
2023-07,LH,Upper Gast Surg,NonAdmitted,18-51 weeks,49
2023-07,LH,Upper Gast Surg,NonAdmitted,52+ weeks,8
2023-07,LH,Urology,Admitted,0-17 weeks,64
2023-07,LH,Urology,Admitted,18-51 weeks,71
2023-07,LH,Urology,Admitted,52+ weeks,10
2023-07,LH,Urology,NonAdmitted,0-17 weeks,32
2023-07,LH,Urology,NonAdmitted,18-51 weeks,14
2023-07,LH,Urology,NonAdmitted,52+ weeks,4
2023-07,LH,Vasc Surg,Admitted,0-17 weeks,15
2023-07,LH,Vasc Surg,Admitted,18-51 weeks,56
2023-07,LH,Vasc Surg,Admitted,52+ weeks,73
2023-07,LH,Vasc Surg,NonAdmitted,0-17 weeks,525
2023-07,LH,Vasc Surg,NonAdmitted,18-51 weeks,535
2023-07,LH,Vasc Surg,NonAdmitted,52+ weeks,142
2023-07,LHC,Community Paeds,NonAdmitted,0-17 weeks,105
2023-07,QE,Audiology,NonAdmitted,0-17 weeks,62
2023-07,QE,Audiology,NonAdmitted,18-51 weeks,3
2023-07,QE,Audiology,NonAdmitted,52+ weeks,2
2023-07,QE,Cardio,Admitted,0-17 weeks,65
2023-07,QE,Cardio,Admitted,18-51 weeks,5
2023-07,QE,Cardio,NonAdmitted,0-17 weeks,1009
2023-07,QE,Cardio,NonAdmitted,18-51 weeks,404
2023-07,QE,Cardio,NonAdmitted,52+ weeks,25
2023-07,QE,Clin Haem,Admitted,0-17 weeks,8
2023-07,QE,Clin Haem,Admitted,18-51 weeks,2
2023-07,QE,Clin Haem,NonAdmitted,0-17 weeks,217
2023-07,QE,Clin Haem,NonAdmitted,18-51 weeks,136
2023-07,QE,Clin Haem,NonAdmitted,52+ weeks,4
2023-07,QE,Colorect Surg,Admitted,0-17 weeks,226
2023-07,QE,Colorect Surg,Admitted,18-51 weeks,71
2023-07,QE,Colorect Surg,Admitted,52+ weeks,59
2023-07,QE,Colorect Surg,NonAdmitted,0-17 weeks,788
2023-07,QE,Colorect Surg,NonAdmitted,18-51 weeks,580
2023-07,QE,Colorect Surg,NonAdmitted,52+ weeks,152
2023-07,QE,Derm,NonAdmitted,0-17 weeks,1942
2023-07,QE,Derm,NonAdmitted,18-51 weeks,688
2023-07,QE,Derm,NonAdmitted,52+ weeks,17
2023-07,QE,Diabetic,NonAdmitted,0-17 weeks,63
2023-07,QE,Diabetic,NonAdmitted,18-51 weeks,4
2023-07,QE,Endocrin,NonAdmitted,0-17 weeks,332
2023-07,QE,Endocrin,NonAdmitted,18-51 weeks,29
2023-07,QE,ENT,Admitted,0-17 weeks,13
2023-07,QE,ENT,Admitted,18-51 weeks,44
2023-07,QE,ENT,Admitted,52+ weeks,22
2023-07,QE,ENT,NonAdmitted,0-17 weeks,1846
2023-07,QE,ENT,NonAdmitted,18-51 weeks,1164
2023-07,QE,ENT,NonAdmitted,52+ weeks,77
2023-07,QE,Gastro,Admitted,0-17 weeks,147
2023-07,QE,Gastro,Admitted,18-51 weeks,41
2023-07,QE,Gastro,Admitted,52+ weeks,5
2023-07,QE,Gastro,NonAdmitted,0-17 weeks,1490
2023-07,QE,Gastro,NonAdmitted,18-51 weeks,814
2023-07,QE,Gastro,NonAdmitted,52+ weeks,29
2023-07,QE,Gen Med,NonAdmitted,0-17 weeks,304
2023-07,QE,Gen Med,NonAdmitted,18-51 weeks,1
2023-07,QE,Gen Surg,Admitted,0-17 weeks,170
2023-07,QE,Gen Surg,Admitted,18-51 weeks,236
2023-07,QE,Gen Surg,Admitted,52+ weeks,69
2023-07,QE,Gen Surg,NonAdmitted,0-17 weeks,1424
2023-07,QE,Gen Surg,NonAdmitted,18-51 weeks,876
2023-07,QE,Gen Surg,NonAdmitted,52+ weeks,234
2023-07,QE,Geriatric Med,Admitted,0-17 weeks,2
2023-07,QE,Geriatric Med,NonAdmitted,0-17 weeks,6
2023-07,QE,Gynae,Admitted,0-17 weeks,187
2023-07,QE,Gynae,Admitted,18-51 weeks,270
2023-07,QE,Gynae,Admitted,52+ weeks,120
2023-07,QE,Gynae,NonAdmitted,0-17 weeks,1915
2023-07,QE,Gynae,NonAdmitted,18-51 weeks,1015
2023-07,QE,Gynae,NonAdmitted,52+ weeks,116
2023-07,QE,Med Oncol,Admitted,0-17 weeks,12
2023-07,QE,Med Oncol,Admitted,18-51 weeks,2
2023-07,QE,Med Oncol,NonAdmitted,0-17 weeks,35
2023-07,QE,Med Oncol,NonAdmitted,18-51 weeks,3
2023-07,QE,Nephro,NonAdmitted,0-17 weeks,135
2023-07,QE,Nephro,NonAdmitted,18-51 weeks,7
2023-07,QE,Neuro,NonAdmitted,0-17 weeks,1029
2023-07,QE,Neuro,NonAdmitted,18-51 weeks,828
2023-07,QE,Neuro,NonAdmitted,52+ weeks,61
2023-07,QE,Paed Cardio,NonAdmitted,0-17 weeks,11
2023-07,QE,Paed Cardio,NonAdmitted,18-51 weeks,10
2023-07,QE,Paed Clin Haem,NonAdmitted,0-17 weeks,2
2023-07,QE,Paed Derm,NonAdmitted,0-17 weeks,210
2023-07,QE,Paed Derm,NonAdmitted,18-51 weeks,143
2023-07,QE,Paed Derm,NonAdmitted,52+ weeks,6
2023-07,QE,Paed Diab Med,NonAdmitted,0-17 weeks,8
2023-07,QE,Paed Endocrin,NonAdmitted,0-17 weeks,3
2023-07,QE,Paed Endocrin,NonAdmitted,18-51 weeks,2
2023-07,QE,Paed ENT,Admitted,0-17 weeks,21
2023-07,QE,Paed ENT,Admitted,18-51 weeks,57
2023-07,QE,Paed ENT,Admitted,52+ weeks,31
2023-07,QE,Paed ENT,NonAdmitted,0-17 weeks,833
2023-07,QE,Paed ENT,NonAdmitted,18-51 weeks,457
2023-07,QE,Paed ENT,NonAdmitted,52+ weeks,8
2023-07,QE,Paed Med Oncol,Admitted,0-17 weeks,1
2023-07,QE,Paed Med Oncol,NonAdmitted,0-17 weeks,17
2023-07,QE,Paed Med Oncol,NonAdmitted,18-51 weeks,4
2023-07,QE,Paed Rheum,NonAdmitted,18-51 weeks,1
2023-07,QE,Paed Surg,Admitted,0-17 weeks,3
2023-07,QE,Paed Surg,Admitted,18-51 weeks,3
2023-07,QE,Paed Surg,NonAdmitted,0-17 weeks,19
2023-07,QE,Paed Surg,NonAdmitted,18-51 weeks,18
2023-07,QE,Paed T&O,Admitted,0-17 weeks,5
2023-07,QE,Paed T&O,Admitted,18-51 weeks,6
2023-07,QE,Paed T&O,NonAdmitted,0-17 weeks,237
2023-07,QE,Paed T&O,NonAdmitted,18-51 weeks,207
2023-07,QE,Paed T&O,NonAdmitted,52+ weeks,23
2023-07,QE,Paediatrics,Admitted,0-17 weeks,8
2023-07,QE,Paediatrics,NonAdmitted,0-17 weeks,903
2023-07,QE,Paediatrics,NonAdmitted,18-51 weeks,316
2023-07,QE,Paediatrics,NonAdmitted,52+ weeks,2
2023-07,QE,Pain Manage,Admitted,0-17 weeks,43
2023-07,QE,Pain Manage,Admitted,18-51 weeks,45
2023-07,QE,Pain Manage,Admitted,52+ weeks,10
2023-07,QE,Pain Manage,NonAdmitted,0-17 weeks,347
2023-07,QE,Pain Manage,NonAdmitted,18-51 weeks,359
2023-07,QE,Pain Manage,NonAdmitted,52+ weeks,11
2023-07,QE,Plastics,Admitted,0-17 weeks,3
2023-07,QE,Plastics,Admitted,18-51 weeks,1
2023-07,QE,Plastics,NonAdmitted,0-17 weeks,5
2023-07,QE,Plastics,NonAdmitted,18-51 weeks,4
2023-07,QE,Resp Med,Admitted,0-17 weeks,69
2023-07,QE,Resp Med,Admitted,18-51 weeks,106
2023-07,QE,Resp Med,Admitted,52+ weeks,4
2023-07,QE,Resp Med,NonAdmitted,0-17 weeks,1064
2023-07,QE,Resp Med,NonAdmitted,18-51 weeks,509
2023-07,QE,Resp Med,NonAdmitted,52+ weeks,21
2023-07,QE,Rheum,Admitted,0-17 weeks,2
2023-07,QE,Rheum,Admitted,18-51 weeks,4
2023-07,QE,Rheum,Admitted,52+ weeks,1
2023-07,QE,Rheum,NonAdmitted,0-17 weeks,343
2023-07,QE,Rheum,NonAdmitted,18-51 weeks,114
2023-07,QE,Rheum,NonAdmitted,52+ weeks,8
2023-07,QE,T&O,Admitted,0-17 weeks,242
2023-07,QE,T&O,Admitted,18-51 weeks,296
2023-07,QE,T&O,Admitted,52+ weeks,39
2023-07,QE,T&O,NonAdmitted,0-17 weeks,1163
2023-07,QE,T&O,NonAdmitted,18-51 weeks,352
2023-07,QE,T&O,NonAdmitted,52+ weeks,61
2023-07,QE,Upper Gast Surg,NonAdmitted,0-17 weeks,69
2023-07,QE,Upper Gast Surg,NonAdmitted,18-51 weeks,20
2023-07,QE,Upper Gast Surg,NonAdmitted,52+ weeks,2
2023-07,QE,Urology,Admitted,0-17 weeks,65
2023-07,QE,Urology,Admitted,18-51 weeks,118
2023-07,QE,Urology,Admitted,52+ weeks,6
2023-07,QE,Urology,NonAdmitted,0-17 weeks,1222
2023-07,QE,Urology,NonAdmitted,18-51 weeks,557
2023-07,QE,Urology,NonAdmitted,52+ weeks,6
2023-07,QE,Vasc Surg,NonAdmitted,0-17 weeks,98
2023-07,QE,Vasc Surg,NonAdmitted,18-51 weeks,75
2023-07,QE,Vasc Surg,NonAdmitted,52+ weeks,24
2023-08,LH,A&E,NonAdmitted,0-17 weeks,3
2023-08,LH,A&E,NonAdmitted,52+ weeks,4
2023-08,LH,Audiology,NonAdmitted,0-17 weeks,71
2023-08,LH,Audiology,NonAdmitted,18-51 weeks,35
2023-08,LH,Audiology,NonAdmitted,52+ weeks,14
2023-08,LH,Cardio,Admitted,0-17 weeks,3
2023-08,LH,Cardio,NonAdmitted,0-17 weeks,897
2023-08,LH,Cardio,NonAdmitted,18-51 weeks,776
2023-08,LH,Cardio,NonAdmitted,52+ weeks,201
2023-08,LH,Clin Haem,Admitted,0-17 weeks,11
2023-08,LH,Clin Haem,NonAdmitted,0-17 weeks,304
2023-08,LH,Clin Haem,NonAdmitted,18-51 weeks,99
2023-08,LH,Colorect Surg,Admitted,0-17 weeks,49
2023-08,LH,Colorect Surg,Admitted,18-51 weeks,7
2023-08,LH,Colorect Surg,Admitted,52+ weeks,3
2023-08,LH,Colorect Surg,NonAdmitted,0-17 weeks,285
2023-08,LH,Colorect Surg,NonAdmitted,18-51 weeks,31
2023-08,LH,Colorect Surg,NonAdmitted,52+ weeks,12
2023-08,LH,Derm,Admitted,0-17 weeks,128
2023-08,LH,Derm,Admitted,18-51 weeks,5
2023-08,LH,Derm,Admitted,52+ weeks,2
2023-08,LH,Derm,NonAdmitted,0-17 weeks,747
2023-08,LH,Derm,NonAdmitted,18-51 weeks,143
2023-08,LH,Derm,NonAdmitted,52+ weeks,16
2023-08,LH,Diabetic,NonAdmitted,0-17 weeks,134
2023-08,LH,Diabetic,NonAdmitted,18-51 weeks,8
2023-08,LH,Endocrin,NonAdmitted,0-17 weeks,208
2023-08,LH,Endocrin,NonAdmitted,18-51 weeks,2
2023-08,LH,ENT,Admitted,0-17 weeks,309
2023-08,LH,ENT,Admitted,18-51 weeks,599
2023-08,LH,ENT,Admitted,52+ weeks,482
2023-08,LH,ENT,NonAdmitted,0-17 weeks,2834
2023-08,LH,ENT,NonAdmitted,18-51 weeks,3357
2023-08,LH,ENT,NonAdmitted,52+ weeks,397
2023-08,LH,Gastro,Admitted,0-17 weeks,74
2023-08,LH,Gastro,Admitted,18-51 weeks,15
2023-08,LH,Gastro,Admitted,52+ weeks,2
2023-08,LH,Gastro,NonAdmitted,0-17 weeks,820
2023-08,LH,Gastro,NonAdmitted,18-51 weeks,759
2023-08,LH,Gastro,NonAdmitted,52+ weeks,142
2023-08,LH,Gen Med,NonAdmitted,0-17 weeks,65
2023-08,LH,Gen Med,NonAdmitted,18-51 weeks,344
2023-08,LH,Gen Med,NonAdmitted,52+ weeks,148
2023-08,LH,Gen Surg,Admitted,0-17 weeks,197
2023-08,LH,Gen Surg,Admitted,18-51 weeks,470
2023-08,LH,Gen Surg,Admitted,52+ weeks,179
2023-08,LH,Gen Surg,NonAdmitted,0-17 weeks,1583
2023-08,LH,Gen Surg,NonAdmitted,18-51 weeks,969
2023-08,LH,Gen Surg,NonAdmitted,52+ weeks,226
2023-08,LH,Geriatric Med,NonAdmitted,0-17 weeks,166
2023-08,LH,Gynae,Admitted,0-17 weeks,135
2023-08,LH,Gynae,Admitted,18-51 weeks,176
2023-08,LH,Gynae,Admitted,52+ weeks,67
2023-08,LH,Gynae,NonAdmitted,0-17 weeks,2282
2023-08,LH,Gynae,NonAdmitted,18-51 weeks,831
2023-08,LH,Gynae,NonAdmitted,52+ weeks,44
2023-08,LH,Med Oncol,Admitted,0-17 weeks,43
2023-08,LH,Med Oncol,Admitted,18-51 weeks,7
2023-08,LH,Med Oncol,NonAdmitted,0-17 weeks,132
2023-08,LH,Med Oncol,NonAdmitted,18-51 weeks,21
2023-08,LH,Nephro,NonAdmitted,0-17 weeks,113
2023-08,LH,Nephro,NonAdmitted,18-51 weeks,16
2023-08,LH,Neuro,NonAdmitted,0-17 weeks,916
2023-08,LH,Neuro,NonAdmitted,18-51 weeks,896
2023-08,LH,Neuro,NonAdmitted,52+ weeks,146
2023-08,LH,Paed Cardio,NonAdmitted,0-17 weeks,84
2023-08,LH,Paed Cardio,NonAdmitted,18-51 weeks,39
2023-08,LH,Paed Cardio,NonAdmitted,52+ weeks,3
2023-08,LH,Paed Clin Haem,NonAdmitted,0-17 weeks,7
2023-08,LH,Paed Derm,Admitted,0-17 weeks,1
2023-08,LH,Paed Derm,NonAdmitted,0-17 weeks,142
2023-08,LH,Paed Derm,NonAdmitted,18-51 weeks,7
2023-08,LH,Paed Diab Med,NonAdmitted,0-17 weeks,4
2023-08,LH,Paed Endocrin,NonAdmitted,0-17 weeks,6
2023-08,LH,Paed Endocrin,NonAdmitted,18-51 weeks,5
2023-08,LH,Paed ENT,Admitted,0-17 weeks,117
2023-08,LH,Paed ENT,Admitted,18-51 weeks,317
2023-08,LH,Paed ENT,Admitted,52+ weeks,203
2023-08,LH,Paed ENT,NonAdmitted,0-17 weeks,527
2023-08,LH,Paed ENT,NonAdmitted,18-51 weeks,670
2023-08,LH,Paed ENT,NonAdmitted,52+ weeks,93
2023-08,LH,Paed Gastro,NonAdmitted,0-17 weeks,29
2023-08,LH,Paed Gastro,NonAdmitted,18-51 weeks,6
2023-08,LH,Paed Ophthal,NonAdmitted,0-17 weeks,332
2023-08,LH,Paed Ophthal,NonAdmitted,18-51 weeks,154
2023-08,LH,Paed Ophthal,NonAdmitted,52+ weeks,6
2023-08,LH,Paed Rheum,NonAdmitted,0-17 weeks,40
2023-08,LH,Paed Rheum,NonAdmitted,18-51 weeks,19
2023-08,LH,Paed Surg,Admitted,0-17 weeks,100
2023-08,LH,Paed Surg,Admitted,18-51 weeks,41
2023-08,LH,Paed Surg,Admitted,52+ weeks,3
2023-08,LH,Paed Surg,NonAdmitted,0-17 weeks,174
2023-08,LH,Paed Surg,NonAdmitted,18-51 weeks,13
2023-08,LH,Paed T&O,Admitted,0-17 weeks,3
2023-08,LH,Paed T&O,Admitted,18-51 weeks,6
2023-08,LH,Paed T&O,Admitted,52+ weeks,2
2023-08,LH,Paed T&O,NonAdmitted,18-51 weeks,1
2023-08,LH,Paediatrics,NonAdmitted,0-17 weeks,612
2023-08,LH,Paediatrics,NonAdmitted,18-51 weeks,294
2023-08,LH,Paediatrics,NonAdmitted,52+ weeks,16
2023-08,LH,Pain Manage,Admitted,0-17 weeks,15
2023-08,LH,Pain Manage,Admitted,18-51 weeks,25
2023-08,LH,Pain Manage,Admitted,52+ weeks,2
2023-08,LH,Pain Manage,NonAdmitted,0-17 weeks,339
2023-08,LH,Pain Manage,NonAdmitted,18-51 weeks,417
2023-08,LH,Pain Manage,NonAdmitted,52+ weeks,63
2023-08,LH,Resp Med,Admitted,0-17 weeks,2
2023-08,LH,Resp Med,Admitted,18-51 weeks,1
2023-08,LH,Resp Med,NonAdmitted,0-17 weeks,451
2023-08,LH,Resp Med,NonAdmitted,18-51 weeks,73
2023-08,LH,Rheum,NonAdmitted,0-17 weeks,473
2023-08,LH,Rheum,NonAdmitted,18-51 weeks,6
2023-08,LH,T&O,Admitted,0-17 weeks,405
2023-08,LH,T&O,Admitted,18-51 weeks,700
2023-08,LH,T&O,Admitted,52+ weeks,211
2023-08,LH,T&O,NonAdmitted,0-17 weeks,1580
2023-08,LH,T&O,NonAdmitted,18-51 weeks,812
2023-08,LH,T&O,NonAdmitted,52+ weeks,119
2023-08,LH,Upper Gast Surg,Admitted,0-17 weeks,15
2023-08,LH,Upper Gast Surg,Admitted,18-51 weeks,3
2023-08,LH,Upper Gast Surg,NonAdmitted,0-17 weeks,151
2023-08,LH,Upper Gast Surg,NonAdmitted,18-51 weeks,56
2023-08,LH,Upper Gast Surg,NonAdmitted,52+ weeks,3
2023-08,LH,Urology,Admitted,0-17 weeks,69
2023-08,LH,Urology,Admitted,18-51 weeks,78
2023-08,LH,Urology,Admitted,52+ weeks,11
2023-08,LH,Urology,NonAdmitted,0-17 weeks,18
2023-08,LH,Urology,NonAdmitted,18-51 weeks,14
2023-08,LH,Urology,NonAdmitted,52+ weeks,4
2023-08,LH,Vasc Surg,Admitted,0-17 weeks,26
2023-08,LH,Vasc Surg,Admitted,18-51 weeks,56
2023-08,LH,Vasc Surg,Admitted,52+ weeks,66
2023-08,LH,Vasc Surg,NonAdmitted,0-17 weeks,538
2023-08,LH,Vasc Surg,NonAdmitted,18-51 weeks,532
2023-08,LH,Vasc Surg,NonAdmitted,52+ weeks,174
2023-08,QE,Audiology,NonAdmitted,0-17 weeks,19
2023-08,QE,Audiology,NonAdmitted,18-51 weeks,5
2023-08,QE,Audiology,NonAdmitted,52+ weeks,2
2023-08,QE,Cardio,Admitted,0-17 weeks,70
2023-08,QE,Cardio,Admitted,18-51 weeks,11
2023-08,QE,Cardio,NonAdmitted,0-17 weeks,981
2023-08,QE,Cardio,NonAdmitted,18-51 weeks,483
2023-08,QE,Cardio,NonAdmitted,52+ weeks,19
2023-08,QE,Clin Haem,Admitted,0-17 weeks,12
2023-08,QE,Clin Haem,Admitted,18-51 weeks,1
2023-08,QE,Clin Haem,NonAdmitted,0-17 weeks,188
2023-08,QE,Clin Haem,NonAdmitted,18-51 weeks,153
2023-08,QE,Clin Haem,NonAdmitted,52+ weeks,4
2023-08,QE,Colorect Surg,Admitted,0-17 weeks,166
2023-08,QE,Colorect Surg,Admitted,18-51 weeks,61
2023-08,QE,Colorect Surg,Admitted,52+ weeks,44
2023-08,QE,Colorect Surg,NonAdmitted,0-17 weeks,783
2023-08,QE,Colorect Surg,NonAdmitted,18-51 weeks,636
2023-08,QE,Colorect Surg,NonAdmitted,52+ weeks,131
2023-08,QE,Derm,NonAdmitted,0-17 weeks,2170
2023-08,QE,Derm,NonAdmitted,18-51 weeks,700
2023-08,QE,Derm,NonAdmitted,52+ weeks,35
2023-08,QE,Diabetic,NonAdmitted,0-17 weeks,66
2023-08,QE,Diabetic,NonAdmitted,18-51 weeks,5
2023-08,QE,Endocrin,NonAdmitted,0-17 weeks,341
2023-08,QE,Endocrin,NonAdmitted,18-51 weeks,27
2023-08,QE,ENT,Admitted,0-17 weeks,13
2023-08,QE,ENT,Admitted,18-51 weeks,47
2023-08,QE,ENT,Admitted,52+ weeks,9
2023-08,QE,ENT,NonAdmitted,0-17 weeks,1745
2023-08,QE,ENT,NonAdmitted,18-51 weeks,1460
2023-08,QE,ENT,NonAdmitted,52+ weeks,90
2023-08,QE,Gastro,Admitted,0-17 weeks,133
2023-08,QE,Gastro,Admitted,18-51 weeks,22
2023-08,QE,Gastro,Admitted,52+ weeks,3
2023-08,QE,Gastro,NonAdmitted,0-17 weeks,1366
2023-08,QE,Gastro,NonAdmitted,18-51 weeks,870
2023-08,QE,Gastro,NonAdmitted,52+ weeks,28
2023-08,QE,Gen Med,NonAdmitted,0-17 weeks,380
2023-08,QE,Gen Surg,Admitted,0-17 weeks,197
2023-08,QE,Gen Surg,Admitted,18-51 weeks,239
2023-08,QE,Gen Surg,Admitted,52+ weeks,90
2023-08,QE,Gen Surg,NonAdmitted,0-17 weeks,1370
2023-08,QE,Gen Surg,NonAdmitted,18-51 weeks,935
2023-08,QE,Gen Surg,NonAdmitted,52+ weeks,199
2023-08,QE,Geriatric Med,NonAdmitted,0-17 weeks,9
2023-08,QE,Gynae,Admitted,0-17 weeks,178
2023-08,QE,Gynae,Admitted,18-51 weeks,267
2023-08,QE,Gynae,Admitted,52+ weeks,116
2023-08,QE,Gynae,NonAdmitted,0-17 weeks,1902
2023-08,QE,Gynae,NonAdmitted,18-51 weeks,1049
2023-08,QE,Gynae,NonAdmitted,52+ weeks,138
2023-08,QE,Med Oncol,Admitted,0-17 weeks,12
2023-08,QE,Med Oncol,Admitted,18-51 weeks,2
2023-08,QE,Med Oncol,NonAdmitted,0-17 weeks,51
2023-08,QE,Med Oncol,NonAdmitted,18-51 weeks,2
2023-08,QE,Nephro,NonAdmitted,0-17 weeks,187
2023-08,QE,Nephro,NonAdmitted,18-51 weeks,8
2023-08,QE,Neuro,NonAdmitted,0-17 weeks,1064
2023-08,QE,Neuro,NonAdmitted,18-51 weeks,857
2023-08,QE,Neuro,NonAdmitted,52+ weeks,64
2023-08,QE,Paed Cardio,NonAdmitted,0-17 weeks,14
2023-08,QE,Paed Cardio,NonAdmitted,18-51 weeks,9
2023-08,QE,Paed Clin Haem,NonAdmitted,0-17 weeks,1
2023-08,QE,Paed Derm,NonAdmitted,0-17 weeks,192
2023-08,QE,Paed Derm,NonAdmitted,18-51 weeks,172
2023-08,QE,Paed Derm,NonAdmitted,52+ weeks,4
2023-08,QE,Paed Diab Med,NonAdmitted,0-17 weeks,9
2023-08,QE,Paed Diab Med,NonAdmitted,18-51 weeks,1
2023-08,QE,Paed Endocrin,NonAdmitted,0-17 weeks,8
2023-08,QE,Paed Endocrin,NonAdmitted,18-51 weeks,3
2023-08,QE,Paed ENT,Admitted,0-17 weeks,16
2023-08,QE,Paed ENT,Admitted,18-51 weeks,55
2023-08,QE,Paed ENT,Admitted,52+ weeks,17
2023-08,QE,Paed ENT,NonAdmitted,0-17 weeks,742
2023-08,QE,Paed ENT,NonAdmitted,18-51 weeks,493
2023-08,QE,Paed ENT,NonAdmitted,52+ weeks,7
2023-08,QE,Paed Med Oncol,Admitted,0-17 weeks,1
2023-08,QE,Paed Med Oncol,Admitted,18-51 weeks,1
